"Inequality-adjusted income index"
"HDI Rank (2015)","Country","2010","2011","2012","2013","2014","2015"
"64"," Mauritius","","0.641","0.645","0.623","0.625","0.628"
"77"," Mexico","0.521","0.492","0.494","0.501","0.502","0.506"
"127"," Micronesia (Federated States of)","0.198","0.199","","0.197","",""
"107"," Moldova (Republic of)","0.457","0.467","0.481","0.480","0.515","0.509"
"92"," Mongolia","0.538","0.556","0.546","0.612","0.616","0.616"
"48"," Montenegro","0.649","0.665","0.653","0.668","0.659","0.657"
"123"," Morocco","0.498","0.488","0.489","0.494","0.494","0.497"
"181"," Mozambique","0.138","0.251","0.218","0.252","0.256","0.259"
"125"," Namibia","0.210","0.212","0.213","0.216","0.218","0.321"
"144"," Nepal","0.334","0.286","0.289","0.381","0.401","0.410"
"7"," Netherlands","0.785","0.814","0.814","0.818","0.818","0.812"
"124"," Nicaragua","0.422","0.373","0.377","0.395","0.414","0.396"
"187"," Niger","0.250","0.258","0.266","0.266","0.289","0.290"
"152"," Nigeria","0.439","0.419","0.388","0.390","0.432","0.432"
"1"," Norway","0.847","0.871","0.851","0.872","0.883","0.882"
"147"," Pakistan","0.513","0.512","0.515","0.518","0.518","0.523"
"60"," Palau","","","","0.565","0.564","0.573"
"114"," Palestine, State of","","","","0.500","0.497","0.509"
"60"," Panama","0.354","0.455","0.462","0.503","0.502","0.493"
"110"," Paraguay","0.424","0.429","0.425","0.430","0.464","0.410"
"87"," Peru","0.391","0.482","0.471","0.490","0.483","0.503"
"116"," Philippines","0.470","0.448","0.453","0.492","0.485","0.490"
"36"," Poland","0.658","0.681","0.676","0.672","0.679","0.685"
"41"," Portugal","0.641","0.680","0.662","0.670","0.668","0.669"
"50"," Romania","0.682","0.606","0.607","0.649","0.656","0.641"
"49"," Russian Federation","0.720","0.726","0.730","0.640","0.673","0.678"
"159"," Rwanda","0.267","0.260","0.283","0.246","0.268","0.267"
"92"," Saint Lucia","","","","","0.502","0.503"
"142"," Sao Tome and Principe","","0.282","0.284","0.286","0.382","0.384"
"162"," Senegal","0.366","0.352","0.364","0.358","0.337","0.340"
"66"," Serbia","0.635","0.652","0.650","0.629","0.628","0.600"
"179"," Sierra Leone","0.309","0.278","0.291","0.308","0.363","0.333"
"40"," Slovakia","0.734","0.750","0.740","0.741","0.745","0.748"
"25"," Slovenia","0.748","0.780","0.764","0.757","0.758","0.758"
"156"," Solomon Islands","","","","0.305","0.305","0.306"
"119"," South Africa","0.426","","","","0.309","0.316"
"27"," Spain","0.712","0.726","0.698","0.675","0.662","0.684"
"73"," Sri Lanka","0.531","0.540","0.549","0.559","0.605","0.610"
"97"," Suriname","0.488","0.488","0.508","0.477","0.479","0.481"
"148"," Swaziland","0.437","0.382","0.383","0.406","0.407","0.408"
"14"," Sweden","0.800","0.828","0.819","0.808","0.801","0.806"
"2"," Switzerland","0.823","0.817","0.819","0.830","0.838","0.806"
"149"," Syrian Arab Republic","0.509","0.502","0.474","0.443","0.416","0.394"
"129"," Tajikistan","0.389","0.396","0.404","0.410","0.416","0.418"
"151"," Tanzania (United Republic of)","0.378","0.370","0.370","0.375","0.371","0.374"
"87"," Thailand","0.485","0.488","0.493","0.493","0.494","0.496"
"82"," The former Yugoslav Republic of Macedonia","0.558","0.560","0.559","0.562","0.506","0.509"
"133"," Timor-Leste","0.501","0.537","0.538","0.516","0.493","0.495"
"166"," Togo","0.286","0.286","0.291","0.283","0.290","0.293"
"65"," Trinidad and Tobago","0.666","0.656","0.655","0.664","0.664","0.665"
"97"," Tunisia","0.545","0.541","","","0.567","0.567"
"71"," Turkey","0.567","0.574","0.575","0.614","0.615","0.618"
"111"," Turkmenistan","0.417","","","","",""
"163"," Uganda","0.303","0.298","0.299","0.307","0.308","0.309"
"84"," Ukraine","0.589","0.591","0.593","0.593","0.604","0.590"
"16"," United Kingdom","0.705","0.739","0.742","0.725","0.736","0.752"
"10"," United States","0.719","0.636","0.716","0.608","0.609","0.692"
"54"," Uruguay","0.568","0.562","0.565","0.576","0.602","0.586"
"105"," Uzbekistan","0.467","0.474","0.468","0.477","0.484","0.489"
"134"," Vanuatu","","","","0.413","0.414","0.410"
"71"," Venezuela (Bolivarian Republic of)","0.524","0.426","0.429","0.556","0.551","0.543"
"115"," Viet Nam","0.465","0.510","0.515","0.502","0.463","0.472"
"168"," Yemen","0.461","0.437","0.437","0.439","0.419","0.376"
"139"," Zambia","0.408","0.414","0.306","0.306","0.307","0.275"
"154"," Zimbabwe","0.254","0.261","0.263","0.266","0.267","0.268"
""
