"Gross enrolment ratio, pre-primary (% of preschool-age children)"
"59"," Malaysia","34","45","51","64","80","","88","94","99",""
"105"," Maldives","","66","60","75","","","","","",""
"175"," Mali","","1","2","3","3","3","","4","4",""
"33"," Malta","104","97","97","95","108","111","117","115","115",""
"0"," Marshall Islands","","","","","","48","","","",""
"157"," Mauritania","","","","","","","","","3",""
"64"," Mauritius","54","76","91","101","105","106","106","105","102",""
"77"," Mexico","60","66","71","84","98","99","101","102","69",""
"107"," Moldova (Republic of)","72","50","42","66","76","77","80","82","84",""
"92"," Mongolia","37","23","29","46","79","84","86","","",""
"48"," Montenegro","","","","31","31","54","60","","","55"
"123"," Morocco","57","59","61","58","59","","58","56","60",""
"145"," Myanmar","","","","","7","","","","23",""
"125"," Namibia","14","","","","","","16","21","",""
"0"," Nauru","","","74","101","","","68","","90",""
"144"," Nepal","","","12","36","72","79","83","85","86","85"
"7"," Netherlands","98","100","","","","92","92","94","95",""
"13"," New Zealand","","","86","92","93","93","93","98","92",""
"124"," Nicaragua","12","18","31","41","58","","","","",""
"187"," Niger","1","1","1","1","4","6","6","7","7",""
"152"," Nigeria","","","","14","13","","","","",""
"1"," Norway","61","73","76","88","99","99","99","99","98",""
"52"," Oman","3","4","","","","54","52","50","54",""
"147"," Pakistan","","","66","51","","","78","78","70",""
"60"," Palau","","","","","","","","85","74",""
"114"," Palestine, State of","","21","34","32","40","41","41","46","51",""
"60"," Panama","51","66","44","60","67","66","68","71","",""
"154"," Papua New Guinea","0","1","","","","","","","",""
"110"," Paraguay","9","16","32","36","40","39","38","","",""
"87"," Peru","29","35","59","64","79","77","78","85","88",""
"116"," Philippines","19","29","25","37","","","","","",""
"36"," Poland","49","44","48","56","70","73","77","77","",""
"41"," Portugal","34","57","72","81","88","91","91","91","92",""
"33"," Qatar","19","23","29","35","","56","","54","58",""
"50"," Romania","60","52","69","73","79","80","80","92","90",""
"49"," Russian Federation","76","62","61","69","","75","77","80","84",""
"159"," Rwanda","","","","","11","12","13","14","",""
"74"," Saint Kitts and Nevis","78","97","","99","90","96","","82","94",""
"92"," Saint Lucia","65","68","64","70","60","60","61","60","65",""
"99"," Saint Vincent and the Grenadines","","","","","","","","78","69",""
"104"," Samoa","","24","52","","36","39","34","","37",""
"0"," San Marino","","","","","93","108","107","","",""
"142"," Sao Tome and Principe","25","","","29","39","53","52","48","42","51"
"38"," Saudi Arabia","","","","10","11","12","14","14","16",""
"162"," Senegal","2","","3","8","12","13","14","","15",""
"66"," Serbia","","","51","56","53","56","57","58","59",""
"63"," Seychelles","100","101","100","101","106","101","99","93","93",""
"179"," Sierra Leone","","","4","","","7","9","10","",""
"40"," Slovakia","","73","82","97","91","91","92","92","92",""
"25"," Slovenia","62","59","77","78","89","91","95","94","93",""
"156"," Solomon Islands","34","41","35","","102","101","94","94","98",""
"119"," South Africa","","","31","41","74","73","78","76","",""
"181"," South Sudan","","","","","","6","","","",""
"27"," Spain","73","91","","","","","","99","98",""
"73"," Sri Lanka","","","","","88","89","92","95","",""
"165"," Sudan","","","","22","31","35","37","34","",""
"97"," Suriname","83","","","82","","91","","94","94",""
"148"," Swaziland","13","","","","22","25","","","",""
"14"," Sweden","64","67","74","94","95","95","95","95","96",""
"2"," Switzerland","90","97","92","98","99","100","99","103","105",""
"149"," Syrian Arab Republic","7","7","9","10","10","12","11","6","",""
"129"," Tajikistan","","14","7","9","8","9","","10","","11"
"151"," Tanzania (United Republic of)","","","","27","32","","34","32","",""
"87"," Thailand","42","68","","","","","","","73",""
"82"," The former Yugoslav Republic of Macedonia","","25","29","31","24","25","29","","",""
"133"," Timor-Leste","","","","10","","","","14","17",""
"166"," Togo","3","2","2","","7","9","11","14","15",""
"101"," Tonga","","","","","","","36","","39",""
"65"," Trinidad and Tobago","8","","60","88","","","","","",""
"97"," Tunisia","7","","16","","","","","41","43",""
"71"," Turkey","4","6","7","11","25","29","30","28","",""
"111"," Turkmenistan","","","","","","","","","63",""
"0"," Tuvalu","","","","91","","","","","93",""
"163"," Uganda","","","","","14","","","11","",""
"84"," Ukraine","67","","51","83","104","106","104","","",""
"42"," United Arab Emirates","59","65","64","82","87","85","82","84","92",""
"16"," United Kingdom","51","","80","71","83","86","84","78","88",""
"10"," United States","61","71","59","64","73","74","75","71","71",""
"54"," Uruguay","43","42","63","76","89","","","70","",""
"105"," Uzbekistan","56","41","25","28","26","25","","","",""
"134"," Vanuatu","","","","114","94","","","97","",""
"71"," Venezuela (Bolivarian Republic of)","37","42","48","57","73","74","72","76","73",""
"115"," Viet Nam","31","33","41","59","71","74","78","82","81",""
"168"," Yemen","","","","1","1","1","","1","",""
"154"," Zimbabwe","","34","61","","","","41","42","",""
"d: Data refer to the most recent year available during the period specified."
