"Primary school dropout rate (% of primary school cohort)"
"160"," Lesotho","52.6","45.3","45.0","36.9","36.1","36.1","43.2","32.6",""
"37"," Lithuania","","8.9","1.4","3.3","3.6","2.5","3.3","2.8",""
"20"," Luxembourg","","","","","","","15.2","",""
"158"," Madagascar","66.0","73.0","63.9","64.0","60.5","59.3","62.0","59.9",""
"170"," Malawi","75.6","83.8","","63.9","49.1","50.9","","",""
"59"," Malaysia","17.0","","","1.1","","","","5.8",""
"105"," Maldives","","","","","","17.2","17.8","",""
"175"," Mali","","","16.6","26.5","24.5","38.4","","",""
"33"," Malta","","","2.1","","4.3","5.5","1.7","3.1",""
"0"," Marshall Islands","","","","21.6","","","","",""
"157"," Mauritania","46.6","66.3","","55.4","","","35.9","",""
"64"," Mauritius","","","2.6","2.3","2.6","2.7","4.2","1.8",""
"77"," Mexico","26.5","21.3","12.8","7.9","5.0","4.2","5.4","4.3",""
"107"," Moldova (Republic of)","","","10.5","3.0","4.6","4.2","5.4","4.9",""
"92"," Mongolia","","31.8","11.1","","","","","",""
"48"," Montenegro","","","","","","19.5","","",""
"123"," Morocco","31.1","43.0","26.7","26.3","10.6","11.8","8.4","10.7",""
"181"," Mozambique","66.2","70.1","67.0","60.9","73.0","69.4","68.4","69.3",""
"145"," Myanmar","","","44.8","28.5","","","","",""
"125"," Namibia","","","18.4","23.1","","","9.4","",""
"144"," Nepal","","","","","","","44.7","39.6","29.9"
"7"," Netherlands","","","1.5","","","","","",""
"124"," Nicaragua","72.9","61.6","48.2","49.8","","","","",""
"187"," Niger","49.9","","30.9","","30.7","","39.7","35.6",""
"152"," Nigeria","","","","22.3","","","","",""
"1"," Norway","5.2","","1.0","0.8","0.7","1.5","1.5","0.4",""
"52"," Oman","33.8","","5.5","","","6.4","1.3","",""
"147"," Pakistan","","","","","47.8","39.0","37.6","20.4",""
"114"," Palestine, State of","","17.9","2.2","","3.7","0.7","3.5","2.5",""
"60"," Panama","","","13.8","14.8","6.2","8.4","6.8","",""
"154"," Papua New Guinea","51.6","50.8","","","","","","",""
"110"," Paraguay","55.3","44.8","","23.8","19.9","15.9","","",""
"87"," Peru","","30.7","19.1","15.1","18.5","26.1","","9.5",""
"116"," Philippines","39.1","","","29.6","","","","",""
"36"," Poland","9.0","","0.8","1.6","1.5","","","",""
"33"," Qatar","","","","14.8","","","2.3","",""
"50"," Romania","","17.3","5.5","6.3","5.2","6.0","","",""
"49"," Russian Federation","","8.9","1.8","","","3.4","2.7","3.6",""
"159"," Rwanda","59.1","","68.9","","","64.4","65.3","",""
"74"," Saint Kitts and Nevis","","","26.3","","","","7.2","",""
"92"," Saint Lucia","","","","","8.2","10.4","","9.9",""
"99"," Saint Vincent and the Grenadines","","","","","31.4","","","",""
"104"," Samoa","","","9.4","15.3","23.4","10.1","","",""
"0"," San Marino","","","","","","3.8","","",""
"142"," Sao Tome and Principe","35.3","","","","","","","","20.5"
"38"," Saudi Arabia","","","","","","1.3","","",""
"162"," Senegal","30.9","","37.1","46.5","40.8","38.6","","",""
"66"," Serbia","","","","","1.9","1.6","0.8","1.7",""
"63"," Seychelles","","","10.1","","","","","",""
"179"," Sierra Leone","","","","","","","52.2","",""
"40"," Slovakia","","0.7","2.8","2.6","1.9","2.0","1.8","2.1",""
"25"," Slovenia","","2.2","","","1.4","1.2","0.4","1.0",""
"156"," Solomon Islands","39.4","","","","24.8","36.6","25.1","28.5",""
"27"," Spain","","","","0.6","2.2","2.9","","3.7",""
"73"," Sri Lanka","6.8","","","1.3","2.7","3.4","1.5","1.8",""
"165"," Sudan","","","","","","20.1","20.6","",""
"97"," Suriname","","","","25.3","","","","14.1",""
"148"," Swaziland","51.2","44.7","41.5","17.0","32.7","","25.3","",""
"14"," Sweden","","","0.7","1.1","4.4","","0.3","0.4",""
"2"," Switzerland","50.3","","","","","","","",""
"149"," Syrian Arab Republic","","18.9","11.3","7.8","4.4","6.8","83.9","",""
"129"," Tajikistan","","","4.5","0.6","1.1","2.0","","1.6","1.4"
"151"," Tanzania (United Republic of)","","","26.1","20.8","","","33.3","",""
"87"," Thailand","","","6.4","","","","","6.5",""
"82"," The former Yugoslav Republic of Macedonia","","5.4","3.4","5.6","","","","",""
"133"," Timor-Leste","","","","","16.4","21.8","22.7","18.8",""
"166"," Togo","64.7","66.0","29.8","19.4","48.3","32.9","37.6","47.2",""
"101"," Tonga","","","8.9","9.6","","","","",""
"65"," Trinidad and Tobago","","","11.2","","","","","",""
"97"," Tunisia","28.2","","11.7","","","","5.9","6.0",""
"71"," Turkey","","4.5","","2.2","5.0","10.0","","",""
"163"," Uganda","","","61.8","","75.2","","","",""
"84"," Ukraine","","","3.1","2.4","1.8","1.9","0.6","1.5",""
"42"," United Arab Emirates","36.8","23.5","6.1","2.1","15.6","","8.0","",""
"54"," Uruguay","4.1","11.6","13.3","7.6","","","","",""
"105"," Uzbekistan","","8.2","2.3","1.6","1.9","","","",""
"71"," Venezuela (Bolivarian Republic of)","34.8","","","9.9","5.4","6.1","4.9","12.8",""
"115"," Viet Nam","","","14.3","7.9","6.2","2.5","5.5","10.4",""
"168"," Yemen","","","","","","","30.5","",""
"139"," Zambia","","","","25.0","","","44.5","",""
"154"," Zimbabwe","","","","","","","23.1","",""
"d: Data refer to the most recent year available during the period specified."
