"Sex ratio at birth (male to female births)"
"HDI Rank (2015)","Country","1990","1995","2000","2005","2010","2015"
"26"," Italy","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"94"," Jamaica","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"17"," Japan","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"86"," Jordan","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"56"," Kazakhstan","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"146"," Kenya","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"137"," Kiribati","1.07","1.07","1.07","1.07","1.07","1.07 hhh"
"0"," Korea (Democratic People's Rep. of)","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"18"," Korea (Republic of)","1.14","1.14","1.10","1.10","1.07","1.07 hhh"
"51"," Kuwait","1.04","1.05","1.05","1.04","1.04","1.04 hhh"
"120"," Kyrgyzstan","1.05","1.05","1.07","1.05","1.06","1.06 hhh"
"138"," Lao People's Democratic Republic","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"44"," Latvia","1.06","1.05","1.07","1.05","1.04","1.05 hhh"
"76"," Lebanon","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"160"," Lesotho","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"177"," Liberia","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"102"," Libya","1.05","1.06","1.06","1.06","1.06","1.06 hhh"
"37"," Lithuania","1.06","1.05","1.06","1.06","1.05","1.05 hhh"
"20"," Luxembourg","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"158"," Madagascar","1.02","1.02","1.02","1.02","1.03","1.03 hhh"
"170"," Malawi","1.02","1.02","1.02","1.02","1.02","1.03 hhh"
"59"," Malaysia","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"105"," Maldives","1.05","1.08","1.06","1.06","1.06","1.09 hhh"
"175"," Mali","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"33"," Malta","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"157"," Mauritania","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"64"," Mauritius","1.04","1.04","1.04","1.04","1.04","1.04 hhh"
"77"," Mexico","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"127"," Micronesia (Federated States of)","1.07","1.07","1.07","1.07","1.07","1.07 hhh"
"107"," Moldova (Republic of)","1.06","1.06","1.05","1.06","1.06","1.06 hhh"
"92"," Mongolia","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"48"," Montenegro","1.08","1.08","1.08","1.08","1.08","1.07 hhh"
"123"," Morocco","1.05","1.06","1.06","1.06","1.06","1.06 hhh"
"181"," Mozambique","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"145"," Myanmar","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"125"," Namibia","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"144"," Nepal","1.05","1.05","1.07","1.07","1.05","1.07 hhh"
"7"," Netherlands","1.06","1.06","1.06","1.06","1.06","1.05 hhh"
"13"," New Zealand","1.05","1.06","1.06","1.05","1.06","1.05 hhh"
"124"," Nicaragua","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"187"," Niger","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"152"," Nigeria","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"1"," Norway","1.05","1.06","1.06","1.05","1.06","1.06 hhh"
"52"," Oman","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"147"," Pakistan","1.07","1.07","1.08","1.10","1.09","1.09 hhh"
"114"," Palestine, State of","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"60"," Panama","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"154"," Papua New Guinea","1.08","1.08","1.08","1.08","1.08","1.08 hhh"
"110"," Paraguay","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"87"," Peru","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"116"," Philippines","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"36"," Poland","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"41"," Portugal","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"33"," Qatar","1.05","1.06","1.04","1.05","1.04","1.05 hhh"
"50"," Romania","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"49"," Russian Federation","1.05","1.06","1.06","1.06","1.06","1.06 hhh"
"159"," Rwanda","1.01","1.01","1.01","1.01","1.01","1.02 hhh"
"92"," Saint Lucia","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"99"," Saint Vincent and the Grenadines","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"104"," Samoa","1.08","1.08","1.08","1.08","1.08","1.08 hhh"
"142"," Sao Tome and Principe","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"38"," Saudi Arabia","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"162"," Senegal","1.04","1.04","1.04","1.04","1.04","1.04 hhh"
"66"," Serbia","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"63"," Seychelles","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"179"," Sierra Leone","1.02","1.02","1.02","1.02","1.02","1.02 hhh"
"5"," Singapore","1.07","1.07","1.07","1.07","1.07","1.07 hhh"
"40"," Slovakia","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"25"," Slovenia","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"156"," Solomon Islands","1.07","1.07","1.07","1.07","1.07","1.07 hhh"
"0"," Somalia","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"119"," South Africa","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"181"," South Sudan","1.04","1.04","1.04","1.04","1.04","1.04 hhh"
"27"," Spain","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"73"," Sri Lanka","1.05","1.04","1.04","1.05","1.04","1.04 hhh"
"165"," Sudan","1.04","1.04","1.04","1.04","1.04","1.04 hhh"
"97"," Suriname","1.08","1.08","1.08","1.08","1.08","1.07 hhh"
"148"," Swaziland","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"14"," Sweden","1.06","1.05","1.06","1.06","1.06","1.06 hhh"
"2"," Switzerland","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"149"," Syrian Arab Republic","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"129"," Tajikistan","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"151"," Tanzania (United Republic of)","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"87"," Thailand","1.05","1.06","1.06","1.06","1.06","1.06 hhh"
"82"," The former Yugoslav Republic of Macedonia","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"133"," Timor-Leste","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"166"," Togo","1.02","1.02","1.02","1.02","1.02","1.02 hhh"
"101"," Tonga","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"65"," Trinidad and Tobago","1.04","1.04","1.04","1.04","1.04","1.04 hhh"
"97"," Tunisia","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"71"," Turkey","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"111"," Turkmenistan","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"163"," Uganda","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"84"," Ukraine","1.06","1.06","1.06","1.06","1.06","1.06 hhh"
"42"," United Arab Emirates","1.04","1.05","1.05","1.04","1.05","1.05 hhh"
"16"," United Kingdom","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"10"," United States","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"54"," Uruguay","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"105"," Uzbekistan","1.05","1.07","1.06","1.06","1.06","1.06 hhh"
"134"," Vanuatu","1.07","1.07","1.07","1.07","1.07","1.07 hhh"
"71"," Venezuela (Bolivarian Republic of)","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"115"," Viet Nam","1.05","1.06","1.06","1.07","1.10","1.11 hhh"
"168"," Yemen","1.05","1.05","1.05","1.05","1.05","1.05 hhh"
"139"," Zambia","1.03","1.03","1.03","1.03","1.03","1.03 hhh"
"154"," Zimbabwe","1.02","1.02","1.02","1.02","1.02","1.02 hhh"
"hhh: Data are average of period estimates for 2010-2015 and projections for 2015-2020."
