"Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64))"
"HDI Rank (2015)","Country","1990","1995","2000","2005","2010","2015"
"0"," Korea (Democratic People's Rep. of)","6.3","7.5","8.7","11.0","12.8","13.8"
"18"," Korea (Republic of)","7.2","8.3","10.2","12.7","15.3","18.0"
"51"," Kuwait","2.3","2.7","2.9","3.2","2.5","2.6"
"120"," Kyrgyzstan","8.7","9.6","9.2","8.8","6.8","6.6"
"138"," Lao People's Democratic Republic","6.8","6.8","6.7","6.6","6.2","6.2"
"44"," Latvia","17.8","20.9","22.4","25.2","27.2","29.5"
"76"," Lebanon","9.9","10.2","11.1","11.6","12.4","12.0"
"160"," Lesotho","8.2","8.0","8.3","8.3","7.4","6.9"
"177"," Liberia","5.7","5.7","5.8","5.6","5.7","5.5"
"102"," Libya","5.6","5.8","6.0","6.0","6.3","6.9"
"37"," Lithuania","16.3","18.6","20.9","23.9","25.8","28.3"
"20"," Luxembourg","19.3","20.6","21.0","21.5","20.5","20.1"
"158"," Madagascar","5.9","5.8","5.8","5.6","5.3","5.1"
"170"," Malawi","5.2","6.0","5.9","6.0","6.3","6.7"
"59"," Malaysia","6.1 t","6.1 t","6.1 t","6.7 t","7.2 t","8.4 t"
"105"," Maldives","5.6","6.0","6.6","7.2","7.4","6.9"
"175"," Mali","7.7","7.3","6.5","5.8","5.4","5.0"
"33"," Malta","15.2","16.1","17.2","21.0","23.7","29.0"
"157"," Mauritania","6.0","6.0","5.9","5.7","5.6","5.7"
"64"," Mauritius","7.1 h","7.7 h","9.0 h","9.6 h","10.8 h","13.4 h"
"77"," Mexico","7.5","7.8","8.3","8.6","9.2","9.8"
"127"," Micronesia (Federated States of)","6.8","6.7","6.7","7.0","6.5","7.1"
"107"," Moldova (Republic of)","13.0 x","14.0 x","14.0 x","13.9 x","13.8 x","13.4 x"
"92"," Mongolia","7.4","6.6","6.0","5.5","5.5","6.0"
"48"," Montenegro","12.4","14.7","17.3","19.6","19.0","20.2"
"123"," Morocco","6.9","8.0","8.6","9.0","9.2","9.3"
"181"," Mozambique","6.4","5.9","6.0","6.2","6.4","6.5"
"145"," Myanmar","7.3","7.5","7.5","7.6","7.7","8.0"
"125"," Namibia","6.4","6.2","5.9","5.9","5.9","5.9"
"144"," Nepal","6.5","6.6","6.8","7.8","8.6","9.0"
"7"," Netherlands","18.4","19.1","20.0","20.8","23.2","27.9"
"13"," New Zealand","16.9","17.6","18.0","18.1","19.6","22.9"
"124"," Nicaragua","6.3","6.6","6.8","7.2","7.6","7.8"
"187"," Niger","4.7","4.9","5.0","5.1","5.3","5.5"
"152"," Nigeria","5.5","5.4","5.2","5.1","5.1","5.1"
"1"," Norway","25.2 j","24.7 j","23.4 j","22.4 j","22.7 j","24.9 j"
"52"," Oman","4.4","3.6","4.1","4.1","3.9","3.4"
"147"," Pakistan","7.4","7.5","7.5","7.4","7.5","7.4"
"114"," Palestine, State of","4.3 w","4.3 w","4.6 w","4.8 w","5.0 w","5.2 w"
"60"," Panama","8.0","8.3","8.8","9.6","10.6","11.7"
"154"," Papua New Guinea","4.2","4.3","4.4","4.5","4.8","5.0"
"110"," Paraguay","7.5","7.8","7.7","8.1","8.6","9.4"
"87"," Peru","6.9","7.3","8.0","9.0","9.6","10.5"
"116"," Philippines","5.6","5.4","5.5","5.8","6.7","7.2"
"36"," Poland","15.6","16.8","17.9","18.8","18.9","22.3"
"41"," Portugal","20.7","22.3","24.0","25.5","28.3","31.9"
"33"," Qatar","1.8","2.0","2.3","1.7","1.2","1.4"
"50"," Romania","15.8","17.9","20.1","22.1","23.2","25.8"
"49"," Russian Federation","15.4","18.3","18.0","19.5","18.2","19.1"
"159"," Rwanda","4.6","4.0","6.2","4.9","4.9","5.0"
"92"," Saint Lucia","13.3","13.4","12.6","11.3","12.8","13.3"
"99"," Saint Vincent and the Grenadines","11.1","11.3","11.2","11.2","10.1","10.8"
"104"," Samoa","6.9","7.6","8.2","8.7","8.9","9.1"
"142"," Sao Tome and Principe","9.9","9.4","9.2","8.5","7.0","5.7"
