"Female share of paid employment in non-agriculture"
"5"," Singapore","","","46.7","46.9","47.0","47.4","48.2"
"40"," Slovakia","48.1","48.8","48.1","47.6","48.2","47.9","47.6"
"25"," Slovenia","47.3","47.8","48.0","47.9","47.4","47.1","47.3"
"119"," South Africa","","44.2","46.9","47.3","45.7","47.3","45.7"
"27"," Spain","42.6","47.3","47.8","48.7","49.1","48.9","48.6"
"73"," Sri Lanka","32.2","32.0","","","27.1","27.1",""
"14"," Sweden","50.5","49.7","49.8","50.2","50.1","50.0","50.0"
"2"," Switzerland","47.0","46.9","46.7","46.8","47.5","47.6","47.6"
"151"," Tanzania (United Republic of)","","","32.6","","32.9","36.4",""
"87"," Thailand","","","45.8","45.4","45.2","45.6",""
"82"," The former Yugoslav Republic of Macedonia","","","42.4","41.9","42.0","42.2","43.0"
"71"," Turkey","","23.0","23.6","25.0","26.0","26.6","27.5"
"163"," Uganda","","","","","29.8","",""
"84"," Ukraine","","50.2","49.8","49.6","49.4","50.8","50.8"
"16"," United Kingdom","49.0","49.6","49.5","49.5","49.5","49.6","49.4"
"10"," United States","47.4","48.3","47.8","47.8","47.7","47.7","47.7"
"54"," Uruguay","48.8","49.3","","48.2","48.5","48.5","48.7"
"71"," Venezuela (Bolivarian Republic of)","","42.9","43.1","43.7","","",""
"115"," Viet Nam","","","","","41.8","42.6","43.1"
"154"," Zimbabwe","","","33.9","","","36.6",""
"qqq: Data refer to 2015 or the most recent year available."
