"Legislators, senior officials and managers, female (% of total)"
"97"," Suriname","","","","","","","35.8",""
"14"," Sweden","","30.7","31.9","31.4","34.6","","",""
"2"," Switzerland","23.9","23.4","28.3","33.0","33.0","","",""
"149"," Syrian Arab Republic","","","","9.2","","","",""
"87"," Thailand","","","28.8","25.8","25.1","","",""
"82"," The former Yugoslav Republic of Macedonia","","","28.5","27.8","27.9","","",""
"133"," Timor-Leste","","","","10.3","","","",""
"65"," Trinidad and Tobago","39.7","39.2","43.5","","","","",""
"71"," Turkey","","","6.9","10.0","","","",""
"84"," Ukraine","","36.7","38.2","41.2","","","","37.8"
"42"," United Arab Emirates","7.1","7.8","10.2","","","","",""
"16"," United Kingdom","33.6","34.5","34.3","35.7","34.3","","",""
"10"," United States","","","42.5","43.0","43.1","43.6","43.4",""
"54"," Uruguay","","36.3","39.6","45.0","43.9","","",""
"115"," Viet Nam","","16.8","","","","","",""
"168"," Yemen","","","2.1","5.2","","","",""
""
